Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2023-10-20,307.2021484375,313.8209478947954,305.03238188372967,312.66641606529106,22287400
2023-10-23,312.5370178222656,315.8712789822451,305.81868144861016,308.048164095756,17796800
2023-10-24,311.08380126953125,316.85661142453586,309.17282508846813,315.2939690776659,19525500
2023-10-25,298.12493896484375,309.42170353150215,297.43817324331945,308.5458266475626,42192500
2023-10-26,286.99737548828125,293.6161747076541,278.0893471906022,293.6161747076541,66684100
2023-10-27,295.33807373046875,297.9059577876648,291.59570187635046,293.09862830435657,29596300
2023-10-30,301.240234375,307.9486075109332,297.64715298545684,297.68697385145646,28435100
2023-10-31,299.85675048828125,302.2554489751464,295.4674338753294,301.8871894817279,19434200
2023-11-01,310.38714599609375,311.27295529207805,300.4340550895294,300.4340550895294,20434600
2023-11-02,309.4117431640625,317.3244628661548,306.8836494789848,315.8115735548844,21631800
2023-11-03,313.124267578125,314.0697930547671,309.5610437782957,311.0838655769867,16754100
2023-11-06,314.318603515625,316.8367343387527,312.9749605221039,314.4977822392614,12887700
2023-11-07,317.3244323730469,319.4941987695334,313.6417768106701,315.5726787596671,14055600
2023-11-08,318.2799377441406,319.8226546749476,313.4029293062361,316.64764664068247,13609700
2023-11-09,319.04632568359375,322.65930264250363,317.3045347267746,317.92165189456364,16103100
2023-11-10,327.227783203125,327.5562522372138,317.96145730803715,318.4392166419731,19096200
2023-11-13,327.64581298828125,330.7710678432152,324.17219386503194,324.66984842707564,16908900
2023-11-14,334.7323913574219,336.5140030999855,331.76635938999215,332.9707052359157,17179400
2023-11-15,331.1492614746094,336.8125723298676,328.4718777328685,336.34477586710636,14531200
2023-11-16,332.622314453125,333.0104691652911,324.8489536558696,327.8249178220162,18932600
2023-11-17,333.4684143066406,333.92624804949924,327.80510233450565,328.71083738249223,14494400
2023-11-20,338.375244140625,340.2663254015602,332.6223586182126,333.31908715486327,16960500
2023-11-21,335.3992919921875,338.30557773248745,334.32434108868193,336.74293505993177,12027900
2023-11-22,339.8880920410156,341.31140712685965,336.9917389389294,337.61878852667485,10702700
2023-11-24,336.6434020996094,340.25634855661747,335.1902289687512,338.5344832825469,5467500
2023-11-27,333.1299743652344,338.3055635607188,332.6323198056057,334.60301242210414,15684500
2023-11-28,337.39984130859375,337.7880264594292,331.83606676759354,331.83606676759354,12637200
2023-11-29,330.6417236328125,338.3055861378964,329.2283712243989,338.09657971374276,16024500
2023-11-30,325.6153564453125,331.9355751199318,320.8876383588967,330.3331420956273,23146400
2023-12-01,323.2963562011719,325.3267651910725,319.2554030970459,323.95326394770245,15264700
2023-12-04,318.518798828125,319.3548548050956,312.18864769916655,315.80162449657615,19037100
2023-12-05,316.79693603515625,320.37009199258137,313.9105457738759,317.48370173130104,16952100
2023-12-06,315.9609069824219,320.7383788307514,315.55282657931986,320.41987260768275,11294300
2023-12-07,325.0579833984375,326.7002372783023,316.2793501686438,316.2793501686438,15905100
2023-12-08,331.1890869140625,331.6071300804727,321.48482366113353,321.5743978308453,14077500
2023-12-11,323.7541198730469,328.34251029334774,318.49888941271394,327.8547882143282,25802500
2023-12-12,332.6521911621094,332.90101842405295,323.0375021156789,323.0773229824279,18485500
2023-12-13,333.16973876953125,336.7827154494074,331.07961408230966,332.36354087602086,16353300
2023-12-14,331.6071472167969,333.1299689294354,327.0983981951085,332.2839501169866,19607300
2023-12-15,333.3489074707031,337.07135345361246,329.666251978668,330.43262898267267,30001600
2023-12-18,343.00341796875,345.92962915941496,335.43906271651696,335.89692677315173,18993900
2023-12-19,348.71649169921875,351.94131393033064,343.50108158543,343.95891527972447,17729400
2023-12-20,347.6415710449219,353.29491960262146,346.1585701638808,347.0145214343162,16369900
2023-12-21,352.4289855957031,354.7381099321862,347.5718724653155,351.324207105706,15289600
2023-12-22,351.7323303222656,355.52445591794634,349.5724960085346,353.91202951063883,11764200
2023-12-26,353.16552734375,355.30546628557806,351.79202625065795,353.3247804504326,9898600
2023-12-27,356.1514587402344,357.3159838070823,353.643290624348,354.3997352959561,13207900
2023-12-28,356.63916015625,360.2023533310822,356.13154280090816,358.01269155934705,11798800
2023-12-29,352.2995910644531,358.3112663717508,350.1696454423874,357.3059944879482,14980500
2024-01-02,344.66558837890625,351.5033568700479,338.4150485975819,349.6719918154254,19042200
2024-01-03,342.8540954589844,346.31778174422465,341.5701383328595,343.3617127732612,15451100
2024-01-04,345.4916687011719,346.5168357961971,341.7891178617216,342.88396387932653,12099900
2024-01-05,350.299072265625,351.84178931937697,344.6357606949998,345.3623169447684,13920700
2024-01-08,356.97760009765625,357.2961063304307,350.3985905134255,353.0361841839577,13890200
2024-01-09,355.7533264160156,358.94829051539614,353.6930292770335,354.7281592519616,13463900
2024-01-10,368.73211669921875,371.19053107921854,357.3955329091282,358.4804464199431,22117200
2024-01-11,367.9359130859375,371.031309678701,361.2275093758464,370.3843648654452,17205400
2024-01-12,372.7333068847656,375.29125864223346,367.8065449091673,368.42363171070525,19295700
2024-01-16,365.7362976074219,373.848061234858,365.5073959388904,371.89726377447624,15306900
2024-01-17,366.64202880859375,366.811244729802,356.92780172958845,364.5817315665266,12724800
2024-01-18,374.3656311035156,375.0822548981735,369.2099370562284,369.7473821214035,16354300
2024-01-19,381.6512756347656,382.5569801603824,376.19697098789175,377.2221381166091,21470100
2024-01-22,379.9891357421875,388.5189426646205,379.3720489133915,386.1302067187156,17680500
2024-01-23,383.3930969238281,386.5581727325682,380.2877068597395,382.8158006068581,15506100
2024-01-24,388.86724853515625,394.291664501188,385.99079087083277,388.1705200673183,15698500
2024-01-25,391.33563232421875,393.63479396036314,383.8509186801979,388.33977252906254,15091100
2024-01-26,392.2911376953125,394.92870069805593,389.7530813016205,392.5001440985125,13163700
2024-01-29,399.1388244628906,401.0398683941151,391.25599379327485,393.13711210386117,18742400
2024-01-30,398.1833801269531,404.4538156852982,397.6956883583602,401.6968202468406,18614700
2024-01-31,388.3099060058594,396.1330209350547,385.2841578436275,387.17523905461377,20180800
2024-02-01,392.9281311035156,398.6213004548262,391.20623540021666,392.0920750920618,29727100
2024-02-02,472.7618408203125,483.6803824265086,450.8849671150932,457.4440501773763,84615500
2024-02-05,457.25494384765625,469.68634442176597,457.065832694256,467.6758310336014,40832400
2024-02-06,452.5869445800781,464.9287710564939,450.8750117531467,461.823411597042,21655200
2024-02-07,467.3871765136719,469.3081157041575,454.04007841203037,455.85154818594935,23066000
2024-02-08,467.7952880859375,468.382516823923,462.8486005267327,466.1231760481729,18815100
2024-02-09,465.9140930175781,471.36839740825224,465.2771110364075,470.73141542708163,18413100
2024-02-12,466.700439453125,476.90235791476306,464.39131500901937,465.99377848403554,19382000
2024-02-13,457.96160888671875,465.69517987553485,452.95520543085865,454.72685437772867,20916600
2024-02-14,471.0599365234375,471.88602979392255,463.90366095213113,465.73502623349873,16858400
2024-02-15,481.7594299316406,486.3278947472662,470.0048326842157,473.05047589463277,24212300
2024-02-16,471.0997009277344,476.71322834295097,467.00896481517003,475.86720955025993,23306500
2024-02-20,469.53704833984375,473.94626017906677,464.37139189635786,467.51657216609806,18015500
2024-02-21,466.3287658691406,467.2952412517482,460.11145725084464,464.8043284518988,12977100
2024-02-22,484.3630065917969,488.20896156578334,474.3296019984396,478.49440112549854,21625800
2024-02-23,482.2706298828125,492.5630686643995,480.5967437022228,486.27600690207765,18374300
2024-02-26,479.9889221191406,484.3729529627836,478.8530816963061,481.71264471932983,12101400
2024-02-27,485.2796325683594,485.4988341169133,478.1755746135247,478.2353540897984,10809600
2024-02-28,482.2606201171875,489.26506548655226,480.99524739875187,483.2370688521899,12715500
2024-02-29,488.3484802246094,489.912780885833,480.8557944621383,486.66462060447867,17732000
2024-03-01,500.47418212890625,502.4171062542749,490.0621849829961,490.3212192348352,16273600
2024-03-04,496.379150390625,502.586516144982,494.6155950432643,501.1716642705007,12324100
2024-03-05,488.4381103515625,493.7786127996676,486.11659300084636,493.20073440898324,15325300
2024-03-06,494.2867431640625,501.1417397001386,492.4932982034921,495.8211538833542,11757900
2024-03-07,510.3282470703125,517.9603770393106,499.55754268597104,501.45063030973444,18586400
2024-03-08,504.1109313964844,521.666879485072,497.534915695739,512.3209700396873,18575200
2024-03-11,481.83221435546875,495.51231867269087,474.2698065924255,495.2034479118539,20428300
2024-03-12,497.9335021972656,500.48419464342277,482.96810803510033,491.4671018638421,15448200
2024-03-13,493.7686767578125,499.1590157815925,489.24517053555513,493.5893383312873,12090700
2024-03-14,490.0422668457031,499.52768269849116,486.38562370950075,498.4416483149513,12620000
2024-03-15,482.3403625488281,490.04224549611934,479.5505219579901,487.2325189558485,29141700
2024-03-18,495.173583984375,495.6119871013144,485.04053660448955,490.12200516417676,11755300
2024-03-19,494.4362487792969,494.8248457959366,479.53063415254,486.39560485995696,10903100
2024-03-20,503.6824951171875,506.35277680404414,493.37014023346006,497.68438791493736,11711100
2024-03-21,505.91436767578125,513.1678741926243,504.1707286998775,512.8391174856022,9712500
2024-03-22,507.72772216796875,508.1163191581985,502.5067786929755,505.1571135489534,8117000
2024-03-25,501.19158935546875,505.3763351694112,498.4216954406482,503.95154029526157,8380600
2024-03-26,494.0875244140625,508.1462219597566,493.40997300906133,503.2939285876756,11205400
2024-03-27,492.06488037109375,498.07299144024375,486.29594802208385,497.48510924151634,9989700
2024-03-28,483.8149719238281,491.0984290807041,483.38654221067395,491.04859257964944,15212800
2024-04-01,489.5639953613281,495.62188175816783,480.0287741074697,485.4290862996602,9247000
2024-04-02,495.5621337890625,495.72155586314705,482.8883677625335,483.3367442463119,11081000
2024-04-03,504.8980712890625,505.3962538689054,496.9371233933013,497.1164618244484,12099200
2024-04-04,509.0628967285156,528.0735304456318,508.7241058190558,514.5428746566774,26476300
2024-04-05,525.4232177734375,528.7709900364625,512.5401630444132,514.9812697911904,19242000
2024-04-08,517.3626098632812,529.5581097041235,517.0039330005043,527.3561816187679,13260600
2024-04-09,515.0211181640625,523.9584834633949,504.8980152105673,520.3317000897688,10881400
2024-04-10,517.9406127929688,520.6606707165434,503.96157785341694,507.4389135737479,11418500
2024-04-11,521.2584228515625,521.9558906964756,515.4097636383199,519.2158862304884,10369500
2024-04-12,510.039306640625,518.2991821255071,507.4786409454992,515.8680487630246,11944900
2024-04-15,498.4117736816406,516.6452750395099,495.47248418641453,514.8417956512984,13512900
2024-04-16,497.94342041015625,502.935188767385,495.30302863185545,496.29939370845227,9847900
2024-04-17,492.373779296875,501.3310922605612,485.36933351230493,501.2713127841246,12193700
2024-04-18,499.97601318359375,510.34820830690745,497.22606608419835,498.00322967417003,14808700
2024-04-19,479.3213806152344,500.972375440201,474.00079446729563,500.972375440201,25111000
2024-04-22,479.9789733886719,490.2216054605686,471.6792350291974,487.9399208543046,17271100
2024-04-23,494.2967529296875,496.947087855681,487.19266460356954,489.46437591061385,15079200
2024-04-24,491.7061767578125,508.1462009047302,482.8185866885529,506.21325017856066,37772700
2024-04-25,439.775634765625,444.1496617636814,412.99333588695123,419.8682490278648,82890700
2024-04-26,441.6787414550781,444.8172857781438,430.3899066236032,439.8553760971793,32691400
2024-04-29,431.0474548339844,438.1615160803969,427.00221505307695,437.9622309022969,21502600
2024-04-30,428.6064147949219,438.0220473247672,428.1580383096976,429.48319059523675,18429500
2024-05-01,437.5936279296875,448.324470023217,425.55751946999504,427.04212427181926,20344900
2024-05-02,440.0745544433594,442.3462657809091,430.7087280659752,437.24488105143956,15221300
2024-05-03,450.3171691894531,452.5191579879948,442.2366626961111,444.30908875789413,16489100
2024-05-06,463.9873046875,464.465570894487,451.69216267855865,453.92401083119677,15094600
2024-05-07,466.53802490234375,469.8160748777237,459.63322146185084,464.59513103388576,13406800
2024-05-08,470.8822021484375,473.85135100024047,461.31709009536706,461.81527269806185,11683900
2024-05-09,473.6919250488281,474.34949927894843,465.93023214661764,468.29161264745665,9437700
2024-05-10,474.4690856933594,475.76434819594465,467.89306977309053,475.35583484503064,10750000
2024-05-13,466.3088684082031,471.62945471547624,461.16762053219,471.0316295379581,14668800
2024-05-14,470.1348876953125,470.8223820602672,458.40765077909236,461.68570053595545,10478600
2024-05-15,479.7897033691406,480.7462054401952,469.48729092622574,473.25355013807143,13100500
2024-05-16,471.5098571777344,475.9536369152341,471.03159099352604,473.27341242078234,16608200
2024-05-17,470.1947021484375,471.0814513592593,466.7173973529921,469.1186107116518,10807300
2024-05-20,467.1358337402344,471.4800016099991,465.3423886311172,468.2418148692893,11745100
2024-05-21,462.9411315917969,468.9890751811332,460.58969409195197,465.42207101594107,11742200
2024-05-22,466.0796813964844,471.9980927279,463.9574187949519,466.16935060979057,10078600
2024-05-23,464.08697509765625,472.63577501421946,459.86239643933766,471.16117399926424,11747900
2024-05-24,476.4817199707031,478.10579995092274,464.60503458401325,465.92024381535487,12012300
